"filename", "language", "JSON", "TypeScript", "JavaScript", "comment", "blank", "total"
"d:\programação\despatchor\apps\api\.eslintrc.json", "JSON", 1, 0, 0, 1, 0, 2
"d:\programação\despatchor\apps\api\jest.config.js", "JavaScript", 0, 0, 14, 0, 1, 15
"d:\programação\despatchor\apps\api\src\config\apollo.ts", "TypeScript", 0, 2, 0, 0, 2, 4
"d:\programação\despatchor\apps\api\src\config\emailTransporter.ts", "TypeScript", 0, 69, 0, 0, 9, 78
"d:\programação\despatchor\apps\api\src\config\google-api.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"d:\programação\despatchor\apps\api\src\constants\subscriptions.ts", "TypeScript", 0, 8, 0, 0, 3, 11
"d:\programação\despatchor\apps\api\src\environments\environment.prod.ts", "TypeScript", 0, 3, 0, 0, 1, 4
"d:\programação\despatchor\apps\api\src\environments\environment.ts", "TypeScript", 0, 3, 0, 0, 1, 4
"d:\programação\despatchor\apps\api\src\graphql\directives\accountOwner.ts", "TypeScript", 0, 16, 0, 0, 6, 22
"d:\programação\despatchor\apps\api\src\graphql\directives\auth.ts", "TypeScript", 0, 19, 0, 0, 5, 24
"d:\programação\despatchor\apps\api\src\graphql\directives\commentOrPostOwner.ts", "TypeScript", 0, 34, 0, 0, 8, 42
"d:\programação\despatchor\apps\api\src\graphql\directives\index.ts", "TypeScript", 0, 10, 0, 0, 2, 12
"d:\programação\despatchor\apps\api\src\graphql\directives\postOwner.ts", "TypeScript", 0, 25, 0, 0, 7, 32
"d:\programação\despatchor\apps\api\src\graphql\directives\utils\getAuthorId.ts", "TypeScript", 0, 14, 0, 0, 4, 18
"d:\programação\despatchor\apps\api\src\graphql\resolvers\comments.ts", "TypeScript", 0, 77, 0, 0, 11, 88
"d:\programação\despatchor\apps\api\src\graphql\resolvers\index.ts", "TypeScript", 0, 23, 0, 0, 4, 27
"d:\programação\despatchor\apps\api\src\graphql\resolvers\posts.ts", "TypeScript", 0, 232, 0, 2, 28, 262
"d:\programação\despatchor\apps\api\src\graphql\resolvers\users.ts", "TypeScript", 0, 287, 0, 1, 50, 338
"d:\programação\despatchor\apps\api\src\graphql\typeDefs\auth.ts", "TypeScript", 0, 15, 0, 0, 3, 18
"d:\programação\despatchor\apps\api\src\graphql\typeDefs\comments.ts", "TypeScript", 0, 27, 0, 0, 6, 33
"d:\programação\despatchor\apps\api\src\graphql\typeDefs\index.ts", "TypeScript", 0, 6, 0, 0, 2, 8
"d:\programação\despatchor\apps\api\src\graphql\typeDefs\post.ts", "TypeScript", 0, 54, 0, 0, 14, 68
"d:\programação\despatchor\apps\api\src\graphql\typeDefs\root.ts", "TypeScript", 0, 18, 0, 0, 7, 25
"d:\programação\despatchor\apps\api\src\graphql\typeDefs\user.ts", "TypeScript", 0, 57, 0, 0, 10, 67
"d:\programação\despatchor\apps\api\src\main.ts", "TypeScript", 0, 37, 0, 0, 13, 50
"d:\programação\despatchor\apps\api\src\types\comments.ts", "TypeScript", 0, 8, 0, 0, 1, 9
"d:\programação\despatchor\apps\api\src\types\email.ts", "TypeScript", 0, 16, 0, 0, 3, 19
"d:\programação\despatchor\apps\api\src\types\jwt.ts", "TypeScript", 0, 13, 0, 0, 2, 15
"d:\programação\despatchor\apps\api\src\types\post.ts", "TypeScript", 0, 11, 0, 0, 1, 12
"d:\programação\despatchor\apps\api\src\types\user.ts", "TypeScript", 0, 11, 0, 0, 1, 12
"d:\programação\despatchor\apps\api\src\utils\emails\emailConfirmation.ts", "TypeScript", 0, 155, 0, 0, 2, 157
"d:\programação\despatchor\apps\api\src\utils\emails\emailReset.ts", "TypeScript", 0, 155, 0, 0, 2, 157
"d:\programação\despatchor\apps\api\src\utils\storeUpload.ts", "TypeScript", 0, 36, 0, 0, 4, 40
"d:\programação\despatchor\apps\api\tsconfig.app.json", "JSON", 9, 0, 0, 0, 1, 10
"d:\programação\despatchor\apps\api\tsconfig.json", "JSON", 13, 0, 0, 0, 1, 14
"d:\programação\despatchor\apps\api\tsconfig.spec.json", "JSON", 9, 0, 0, 0, 1, 10
"Total", "-", 32, 1452, 14, 4, 221, 1723
